"산업분류","규모별",2020 1/2,2020 1/2,2020 1/2,2020 1/2,2020 1/2,2020 1/2,2020 2/2,2020 2/2,2020 2/2,2020 2/2,2020 2/2,2020 2/2,2021 1/2,2021 1/2,2021 1/2,2021 1/2,2021 1/2,2021 1/2
"산업분류","규모별",상용총근로시간 (시간),상용소정실근로시간 (시간),상용초과근로시간 (시간),상용정액급여 (원),상용초과급여 (원),상용특별급여 (원),상용총근로시간 (시간),상용소정실근로시간 (시간),상용초과근로시간 (시간),상용정액급여 (원),상용초과급여 (원),상용특별급여 (원),상용총근로시간 (시간),상용소정실근로시간 (시간),상용초과근로시간 (시간),상용정액급여 (원),상용초과급여 (원),상용특별급여 (원)
"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업","300인이상",173.0,155.0,18.0,4353004,532274,2457061,175.2,157.2,17.9,4396238,543287,1567937,172.3,153.6,18.8,4592889,590263,3696261
"의료, 정밀, 광학 기기 및 시계 제조업","5~9인",162.7,160.7,2.0,2934119,29481,80664,164.1,163.2,0.9,2894370,13595,120242,159.9,159.3,0.6,2887738,9475,72813
"의료, 정밀, 광학 기기 및 시계 제조업","10~29인",167.3,160.7,6.6,3344543,120969,65829,170.3,162.6,7.7,3354592,140813,95905,166.3,159.9,6.4,3458485,109104,86226
"의료, 정밀, 광학 기기 및 시계 제조업","30~99인",167.2,159.1,8.0,3610393,202552,200087,168.9,162.5,6.4,3706032,190723,544980,165.8,159.9,5.9,3791304,188497,276775
"의료, 정밀, 광학 기기 및 시계 제조업","100~299인",162.8,153.8,9.0,3121056,151778,318855,164.1,155.8,8.3,3142427,225488,301668,166.1,156.6,9.5,3273363,321668,304150
"의료, 정밀, 광학 기기 및 시계 제조업","300인이상",175.6,150.7,24.9,3607722,541231,779135,183.6,153.7,29.9,3578319,625207,1443198,182.7,152.2,30.6,3756106,673874,843830
"전기장비 제조업","5~9인",160.6,159.4,1.2,3184827,21582,73419,159.9,159.3,0.6,3198335,11490,219066,160.9,159.8,1.1,3205908,20157,57351
"전기장비 제조업","10~29인",171.1,161.0,10.0,3169832,156792,121333,171.9,161.5,10.4,3222476,157052,193047,171.0,159.3,11.7,3190363,197266,129449
"전기장비 제조업","30~99인",167.5,155.3,12.3,3173007,242625,110363,173.2,158.1,15.1,3193394,270389,170994,174.2,159.6,14.6,3269169,277688,118288
"전기장비 제조업","100~299인",178.1,153.8,24.3,2955247,545680,649652,184.0,155.5,28.5,2999541,657479,790200,180.7,157.0,23.7,3077037,545271,667386
"전기장비 제조업","300인이상",172.6,152.2,20.5,3480215,611412,1153472,176.7,153.2,23.4,3525246,748490,1429406,174.9,153.1,21.8,3672347,693640,1417510
"기타 기계 및 장비 제조업","5~9인",175.6,164.9,10.7,2966903,193827,138647,173.9,166.5,7.4,2988814,133343,235153,171.2,164.7,6.5,3103673,106008,130637
"기타 기계 및 장비 제조업","10~29인",179.5,161.6,17.9,3099944,364192,174712,177.6,160.1,17.5,3017246,360749,158564,178.3,161.9,16.4,3128183,359087,98895
"기타 기계 및 장비 제조업","30~99인",184.4,158.5,26.0,2855228,507816,266689,188.9,161.4,27.5,2938999,552724,304867,189.7,159.6,30.1,2982808,585994,286093
"기타 기계 및 장비 제조업","100~299인",172.9,154.6,18.3,3367218,400563,525869,172.7,155.7,16.9,3436072,372152,567225,173.6,155.4,18.2,3497189,391824,558145
"기타 기계 및 장비 제조업","300인이상",171.2,151.7,19.5,4262067,511039,1116259,171.3,150.6,20.7,4233424,542880,917345,177.3,154.0,23.4,4424385,615623,1116465
"자동차 및 트레일러 제조업","5~9인",172.5,155.9,16.6,2445321,286866,65604,186.2,161.2,25.0,2408831,418931,89420,180.0,160.4,19.6,2489958,357782,43741
"자동차 및 트레일러 제조업","10~29인",178.2,156.0,22.2,2860532,429416,165247,183.4,161.0,22.4,2952844,470494,233526,184.1,161.2,22.9,2958973,452902,119163
"자동차 및 트레일러 제조업","30~99인",171.3,150.6,20.8,2535851,397310,186664,186.0,156.9,29.2,2613995,546524,312924,183.7,157.9,25.8,2752053,499492,217202
"자동차 및 트레일러 제조업","100~299인",169.9,145.8,24.1,3120108,575587,659701,184.8,152.8,32.0,3190309,722090,867859,185.8,154.2,31.6,3200985,715885,656729
"자동차 및 트레일러 제조업","300인이상",153.7,139.1,14.6,3351263,472532,2187050,161.7,143.4,18.3,3799350,568711,2920118,162.5,146.0,16.5,3473925,528650,1874970
"기타 운송장비 제조업","5~9인",175.1,163.1,12.0,2745517,207711,81443,169.9,160.7,9.2,2850271,170491,170124,172.4,162.6,9.9,2934319,168128,75073
"기타 운송장비 제조업","10~29인",178.6,163.0,15.5,3280456,278168,146569,173.7,160.5,13.2,3212888,240448,293609,179.0,162.9,16.1,3308576,305515,187934
"기타 운송장비 제조업","30~99인",187.7,158.5,29.2,2979328,511451,264686,174.7,152.0,22.6,3003492,402510,235173,172.6,154.4,18.2,3186460,324534,251592
"기타 운송장비 제조업","100~299인",180.1,150.6,29.5,2598031,632804,285073,173.4,147.6,25.8,2731392,569425,480464,180.6,154.8,25.8,2876423,496917,316782
"기타 운송장비 제조업","300인이상",167.1,147.3,19.8,3622711,537561,1464090,156.4,138.6,17.8,3462816,466841,2091246,158.4,144.3,14.2,3644833,385931,1694659
"가구 제조업","5~9인",183.4,164.9,18.5,2458435,233004,41672,184.5,167.7,16.8,2511374,203651,58485,179.9,163.7,16.2,2583848,200889,42229
"가구 제조업","10~29인",188.5,164.8,23.7,2776296,359597,98924,190.6,165.9,24.7,2792980,389858,113239,187.1,161.8,25.2,2849581,417137,59116
