,산업분류,규모별,상용총근로시간,상용소정실근로시간,상용초과근로시간,상용정액급여,상용초과급여,상용특별급여
163,"폐기물 수집, 운반, 처리 및 원료 재생업",30~99인,191.83333333333334,170.4333333333333,21.400000000000002,3186674.6666666665,629541.6666666666,359408.3333333333
164,"폐기물 수집, 운반, 처리 및 원료 재생업",100~299인,196.76666666666665,167.50000000000003,29.2,3193561.3333333335,730089.6666666666,566772.3333333334
165,"폐기물 수집, 운반, 처리 및 원료 재생업",300인이상,NaN,NaN,NaN,NaN,NaN,NaN
166,환경 정화 및 복원업,5~9인,169.86666666666665,162.79999999999998,7.066666666666666,3091483.6666666665,105896.66666666667,355385.0
167,환경 정화 및 복원업,10~29인,164.0,156.96666666666667,7.1000000000000005,3458574.6666666665,178250.66666666666,788215.6666666666
168,환경 정화 및 복원업,30~99인,172.0666666666667,163.26666666666668,8.833333333333334,4019767.0,274131.0,664959.3333333334
169,환경 정화 및 복원업,100~299인,NaN,NaN,NaN,NaN,NaN,NaN
170,환경 정화 및 복원업,300인이상,NaN,NaN,NaN,NaN,NaN,NaN
171,종합 건설업,5~9인,166.70000000000002,164.66666666666666,2.033333333333333,2804883.3333333335,56150.0,56332.0
172,종합 건설업,10~29인,167.56666666666666,164.56666666666666,3.033333333333333,3387174.6666666665,99728.0,170924.66666666666
173,종합 건설업,30~99인,172.46666666666667,163.06666666666666,9.433333333333332,4075887.0,247522.0,246219.0
174,종합 건설업,100~299인,175.4,158.53333333333333,16.866666666666667,4248653.333333333,499647.3333333333,648877.6666666666
175,종합 건설업,300인이상,172.20000000000002,155.86666666666665,16.366666666666664,5236785.0,567685.0,799143.3333333334
176,전문직별 공사업,5~9인,164.20000000000002,163.26666666666668,0.9,2968886.3333333335,17510.333333333332,126970.33333333333
177,전문직별 공사업,10~29인,167.5666666666667,165.16666666666666,2.3333333333333335,3654991.0,93639.0,139708.66666666666
178,전문직별 공사업,30~99인,177.4333333333333,163.79999999999998,13.633333333333333,3689317.6666666665,298515.0,348471.6666666667
179,전문직별 공사업,100~299인,174.76666666666668,160.7,14.1,3689623.0,392913.0,371203.3333333333
180,전문직별 공사업,300인이상,175.0666666666667,159.76666666666668,15.233333333333334,4676949.333333333,523457.6666666667,998663.3333333334
181,자동차 및 부품 판매업,5~9인,169.0666666666667,165.4333333333333,3.533333333333333,3497962.3333333335,70100.0,386724.3333333333
182,자동차 및 부품 판매업,10~29인,165.5,160.46666666666667,5.0,4307333.666666667,103889.0,1262132.6666666667
183,자동차 및 부품 판매업,30~99인,162.0,159.0,3.033333333333333,4306322.666666667,67777.66666666667,847948.6666666666
184,자동차 및 부품 판매업,100~299인,163.96666666666667,156.86666666666667,7.099999999999999,4953504.0,234195.66666666666,1201474.0
185,자동차 및 부품 판매업,300인이상,NaN,NaN,NaN,NaN,NaN,NaN
186,도매 및 상품 중개업,5~9인,164.96666666666667,162.66666666666666,2.3,3443653.3333333335,55248.333333333336,325565.6666666667
187,도매 및 상품 중개업,10~29인,169.20000000000002,163.13333333333333,6.033333333333334,3823692.3333333335,125325.33333333333,324566.3333333333
188,도매 및 상품 중개업,30~99인,168.53333333333333,159.29999999999998,9.200000000000001,4263355.333333333,183645.66666666666,645606.0
189,도매 및 상품 중개업,100~299인,171.6,157.26666666666665,14.366666666666667,4302125.333333333,264605.0,665868.6666666666
190,도매 및 상품 중개업,300인이상,163.83333333333334,156.29999999999998,7.533333333333334,4819996.0,247473.33333333334,1208461.6666666667
191,소매업; 자동차 제외,5~9인,175.63333333333333,166.70000000000002,8.933333333333332,2648838.3333333335,167337.66666666666,236426.66666666666
192,소매업; 자동차 제외,10~29인,176.0,163.26666666666668,12.666666666666666,2595223.0,212751.0,339931.6666666667
193,소매업; 자동차 제외,30~99인,167.20000000000002,158.23333333333335,8.9,2752564.6666666665,170033.66666666666,401607.0
194,소매업; 자동차 제외,100~299인,150.2,144.66666666666666,5.533333333333334,2518139.3333333335,140973.33333333334,475194.0
195,소매업; 자동차 제외,300인이상,160.5,151.23333333333332,9.266666666666666,4115015.0,272028.6666666667,732253.3333333334
196,육상 운송 및 파이프라인 운송업,5~9인,166.5,158.5666666666667,7.966666666666666,3104365.6666666665,275119.0,357469.6666666667
197,육상 운송 및 파이프라인 운송업,10~29인,164.10000000000002,154.73333333333332,9.366666666666667,2814779.6666666665,216355.33333333334,265731.6666666667
198,육상 운송 및 파이프라인 운송업,30~99인,142.16666666666669,129.4,12.733333333333333,1935017.3333333333,287513.3333333333,208046.0
199,육상 운송 및 파이프라인 운송업,100~299인,163.96666666666667,153.5,10.466666666666667,2203531.3333333335,391789.3333333333,390751.3333333333
200,육상 운송 및 파이프라인 운송업,300인이상,177.4,158.16666666666666,19.266666666666666,2942630.6666666665,625835.3333333334,601526.6666666666
201,수상 운송업,5~9인,155.5,153.5666666666667,1.9666666666666668,3847279.3333333335,38347.0,149847.33333333334
202,수상 운송업,10~29인,171.9333333333333,166.5666666666667,5.333333333333333,3779944.3333333335,216904.33333333334,145221.66666666666
203,수상 운송업,30~99인,174.86666666666667,168.13333333333335,6.7,4025196.6666666665,256056.0,331560.3333333333
204,수상 운송업,100~299인,170.0,167.33333333333334,2.6666666666666665,4867172.333333333,40727.0,207642.66666666666
205,수상 운송업,300인이상,174.23333333333332,161.0666666666667,13.166666666666666,5378017.666666667,400065.0,NaN
206,항공 운송업,5~9인,145.13333333333335,142.36666666666665,2.733333333333333,3495291.0,120418.66666666667,151242.33333333334
207,항공 운송업,10~29인,123.39999999999999,117.86666666666667,5.5,3206812.6666666665,143197.0,1033530.0
208,항공 운송업,30~99인,144.56666666666666,135.1,9.4,3315168.3333333335,199863.33333333334,1140921.3333333333
209,항공 운송업,100~299인,126.46666666666668,122.93333333333334,3.5333333333333337,2693469.6666666665,119706.0,1446618.6666666667
210,항공 운송업,300인이상,84.13333333333334,81.23333333333333,2.9,3134202.6666666665,130577.66666666667,1331817.6666666667
211,창고 및 운송관련 서비스업,5~9인,168.5666666666667,167.56666666666666,1.0,3512365.6666666665,19787.666666666668,201577.66666666666
212,창고 및 운송관련 서비스업,10~29인,168.5666666666667,159.89999999999998,8.633333333333333,3305148.6666666665,201825.66666666666,261404.66666666666
213,창고 및 운송관련 서비스업,30~99인,166.56666666666666,157.03333333333333,9.533333333333333,3565369.6666666665,269687.6666666667,654625.3333333334
214,창고 및 운송관련 서비스업,100~299인,161.53333333333333,152.43333333333337,9.1,3635473.0,243020.0,972511.3333333334
215,창고 및 운송관련 서비스업,300인이상,161.53333333333333,150.20000000000002,11.333333333333334,3934524.3333333335,291395.6666666667,847596.6666666666
216,숙박업,5~9인,185.26666666666668,184.23333333333335,1.0333333333333334,2221633.3333333335,29510.0,14914.0
217,숙박업,10~29인,152.26666666666665,147.83333333333334,4.466666666666666,2198687.0,128928.0,111217.0
218,숙박업,30~99인,144.29999999999998,137.26666666666665,7.099999999999999,2246626.0,185386.33333333334,113418.66666666667
219,숙박업,100~299인,149.4333333333333,143.26666666666665,6.166666666666667,2634692.3333333335,143756.66666666666,291585.3333333333
220,숙박업,300인이상,145.26666666666665,138.83333333333334,6.433333333333334,2667928.6666666665,143342.66666666666,769824.6666666666
221,음식점 및 주점업,5~9인,183.73333333333335,177.66666666666666,6.066666666666667,2233050.0,99577.66666666667,59760.0
222,음식점 및 주점업,10~29인,187.13333333333335,173.5,13.6,2316971.0,227051.66666666666,71841.66666666667
223,음식점 및 주점업,30~99인,177.83333333333334,162.46666666666667,15.433333333333332,2494914.6666666665,277323.6666666667,110973.33333333333
224,음식점 및 주점업,100~299인,138.36666666666667,137.36666666666667,1.0,2043697.3333333333,20836.0,NaN
225,음식점 및 주점업,300인이상,166.96666666666667,134.8,32.166666666666664,1699968.3333333333,480595.3333333333,598319.0
226,출판업,5~9인,155.79999999999998,155.79999999999998,NaN,3555092.3333333335,NaN,166670.0
227,출판업,10~29인,168.73333333333332,160.46666666666667,8.233333333333334,3685076.3333333335,197101.66666666666,303602.0
228,출판업,30~99인,165.63333333333335,160.06666666666666,5.566666666666666,4025724.0,130470.0,155292.33333333334
229,출판업,100~299인,172.9,157.76666666666668,15.200000000000001,3964628.3333333335,373336.6666666667,502122.3333333333
230,출판업,300인이상,167.79999999999998,154.4,13.4,4579005.666666667,386764.0,1082068.6666666667
231,영상ㆍ오디오 기록물 제작 및 배급업,5~9인,154.0,152.56666666666666,1.4333333333333333,3040075.3333333335,22020.333333333332,135149.33333333334
232,영상ㆍ오디오 기록물 제작 및 배급업,10~29인,154.89999999999998,150.83333333333334,4.066666666666666,3330492.0,86921.0,170774.33333333334
233,영상ㆍ오디오 기록물 제작 및 배급업,30~99인,160.93333333333334,152.16666666666666,8.766666666666667,3777438.6666666665,218865.33333333334,223734.66666666666
234,영상ㆍ오디오 기록물 제작 및 배급업,100~299인,173.5333333333333,155.66666666666666,17.933333333333334,3531737.6666666665,298181.0,240545.33333333334
235,영상ㆍ오디오 기록물 제작 및 배급업,300인이상,NaN,NaN,NaN,NaN,NaN,NaN
236,방송업,5~9인,163.9,159.33333333333334,4.6000000000000005,3837404.0,67796.66666666667,592697.6666666666
237,방송업,10~29인,166.93333333333334,157.50000000000003,9.4,3431512.3333333335,148008.0,457418.0
238,방송업,30~99인,163.66666666666666,156.86666666666667,6.766666666666667,4036722.6666666665,157141.66666666666,656557.3333333334
