기업명,내용,고용형태,경력,주소1,주소2,기간,직무키워드
에스텍시스템,                                ::서울대연구소(삼성전자) 정규직 보안사원 채용중::                            ,신입·경력,고졸↑,서울,서울 관악구 외,~12/30(목),"관악구, 보안사원, 삼성전자, 서울대학교, 정규직, 경비, 매장·시설감시, 보안, 시설관리, 경비, 보안, 순찰, 시설관리, 경호, 보안, 보안검색"
㈜에렉스,                                영등포 피에프창 타임스퀘어점 직원 채용 공고                            ,신입·경력,학력무관,서울,서울 영등포구,~02/20(일),"중식당, 퓨전푸드, 프랜차이즈, 요리사, 조리사, 중식"
코리아인,                                [양재/신입] 이러닝 e커머스 마케터/에디터/MD 신입 채용,신입,학력무관,서울,서울 서초구,~01/21(금),"e러닝, 마케팅, CRM, 가맹점관리(SV), 온라인MD, MD, VMD, AMD, 컨텐츠에디터"
㈜에렉스,                                후와후와 디큐브 시티점 주방 알바  채용 공고                            ,경력무관,학력무관,서울,서울 구로구 외,~02/02(수),"일식당, 프랜차이즈, 일식, 조리사, 주방보조"
㈜유니에스,                                [급구/언론사/월-금/하루4시간] 이데일리씨앤비 콘텐츠 영상편집 채용,경력무관,학력무관,서울,서울 중구 외,~03/22(화),"유튜브, 콘텐츠, 아웃소싱, 방송기획, 방송제작, 방송편성, AD·조연출, FD·연출보조, 방송기술, 방송송출·송신, 영상편집, 포토샵, 프리미어"
한영회계법인,                                [EY한영] 감사본부 감사지원팀 ADC(Audit Delivery Center) 단기인턴 대규모 추가 채용,신입,대졸↑,서울,서울 영등포구,~01/05(수),"회계법인, 사무행정, 회계, 회계감사, 회계, CPA"
한영회계법인,                                [EY컨설팅] 컨설팅본부 Enterprise Risk팀 PI 및 ISP 컨설팅 인턴 채용,신입,대졸↑,서울,서울 영등포구,~12/29(수),"회계법인, 경영컨설팅, 컨설턴트"
인천영어마을,                                재단법인 로이교육재단 서무부 사원 채용,신입·경력1년↑,초대졸↑,인천,인천 서구,~01/08(토),"결산, 경리, 전표입력, 회계"
주식회사 데이터스트림즈,                                ㈜ 데이터스트림즈 2021년 하반기 부문별 신입 및 경력사원 채용,신입·경력3년↑,초대졸↑,서울,서울 서초구,~03/22(화),"소프트웨어개발, 솔루션, BigData, DW, ERP, 웹기획, 컨텐츠기획, PM, UI설계, 웹접근성, 웹퍼블리셔, 웹표준, 자바스크립트, UI·UX, 웹UI, 자바스크립트, 포토샵, HTML, UI·UX디자인"
주식회사 데이터스트림즈,                                ㈜ 데이터스트림즈 2021년 하반기 부문별 신입 및 경력사원 공개채용,신입·경력3년↑,초대졸↑,서울,서울 서초구,~03/22(화),"소프트웨어개발, 솔루션, BigData, DW, ERP, 웹기획, 컨텐츠기획, PM, UI설계, 웹프로그래머, HTML, Java, jsp, MySQL, 웹접근성, 웹퍼블리셔, 웹표준, 자바스크립트, UI·UX"
